lga,state,forecast_week,expected_displacement,lower_bound,upper_bound,probability,confidence,method,risk_level,historical_events,trend,hazard_type,expected_affected,in_flood_season
Madagali,Adamawa,4,25916,16394.0,35438.0,0.41,high,historical_trend,very_high,41,stable,conflict,,
Tafawa-Balewa,Bauchi,4,12933,6829.0,19038.0,0.9,high,historical_trend,very_high,41,stable,conflict,,
Akko,Gombe,4,12442,7674.0,17211.0,0.85,high,historical_trend,very_high,42,stable,conflict,,
Ardo-Kola,Taraba,4,5555,1258.0,9851.0,0.82,high,historical_trend,very_high,64,increasing,conflict,,
Ningi,Bauchi,4,4975,2131.0,7820.0,0.89,high,historical_trend,very_high,45,stable,conflict,,
Kaltungo,Gombe,4,4532,2054.0,7010.0,0.86,high,historical_trend,very_high,42,increasing,conflict,,
Balanga,Gombe,4,4485,1279.0,7690.0,0.85,high,historical_trend,very_high,42,stable,conflict,,
Guyuk,Adamawa,4,4152,860.0,7443.0,0.81,high,historical_trend,very_high,58,increasing,conflict,,
Shani,Borno,4,4051,2550.0,5552.0,0.79,high,historical_trend,very_high,41,stable,conflict,,
Kwami,Gombe,4,2947,1436.0,4458.0,0.85,high,historical_trend,very_high,40,stable,conflict,,
Song,Adamawa,4,2719,516.0,4922.0,0.84,high,historical_trend,very_high,60,stable,conflict,,
Warji,Bauchi,4,2164,0.0,10406.0,0.87,high,historical_trend,very_high,40,stable,conflict,,
Giade,Bauchi,4,1996,996.0,2996.0,0.89,high,historical_trend,very_high,41,stable,conflict,,
Shira,Bauchi,4,1748,299.0,3196.0,0.83,high,historical_trend,very_high,50,stable,conflict,,
Funakaye,Gombe,2,1667,,,0.54,moderate,,moderate,2,,flood,5557.0,True
Darazo,Bauchi,2,1630,,,0.53,low,,moderate,1,,flood,5436.0,True
Madagali,Adamawa,2,1516,,,0.71,moderate,,very_high,3,,flood,5054.0,True
Dass,Bauchi,4,1507,781.0,2233.0,0.88,high,historical_trend,very_high,41,increasing,conflict,,
Ganjuwa,Bauchi,4,1254,740.0,1769.0,0.87,high,historical_trend,very_high,40,stable,conflict,,
Gassol,Taraba,2,1101,,,0.7,moderate,,very_high,3,,flood,3673.0,True
Donga,Taraba,2,1090,,,0.67,moderate,,high,2,,flood,3636.0,True
Lau,Taraba,2,1051,,,0.67,moderate,,high,2,,flood,3506.0,True
Fufore,Adamawa,2,1050,,,0.67,moderate,,high,2,,flood,3501.0,True
Kirfi,Bauchi,4,1025,529.0,1522.0,0.8,high,historical_trend,very_high,41,stable,conflict,,
Nafada,Gombe,2,1017,,,0.5,low,,very_high,1,,flood,3393.0,True
Jada,Adamawa,4,937,0.0,2393.0,0.82,high,historical_trend,very_high,41,increasing,conflict,,
Akko,Gombe,2,850,,,0.62,moderate,,very_high,4,,flood,2835.0,True
Misau,Bauchi,2,811,,,0.54,moderate,,high,2,,flood,2704.0,True
Katagum,Bauchi,2,801,,,0.54,moderate,,high,2,,flood,2673.0,True
Kwami,Gombe,2,788,,,0.54,moderate,,very_high,2,,flood,2628.0,True
Girei,Adamawa,2,783,,,0.49,low,,high,1,,flood,2611.0,True
Yola South,Adamawa,2,754,,,0.59,moderate,,high,4,,flood,2516.0,True
Shomgom,Gombe,4,738,464.0,1011.0,0.8,high,historical_trend,very_high,40,increasing,conflict,,
Alkaleri,Bauchi,4,725,302.0,1148.0,0.79,high,historical_trend,very_high,40,stable,conflict,,
Wukari,Taraba,2,663,,,0.58,moderate,,high,4,,flood,2212.0,True
Gamawa,Bauchi,2,638,,,0.5,moderate,,moderate,2,,flood,2128.0,True
Numan,Adamawa,2,631,,,0.58,moderate,,high,4,,flood,2106.0,True
Shira,Bauchi,2,580,,,0.48,low,,very_high,1,,flood,1935.0,True
Yola North,Adamawa,2,560,,,0.68,moderate,,high,3,,flood,1867.0,True
Bauchi,Bauchi,2,556,,,0.48,low,,high,1,,flood,1854.0,True
Alkaleri,Bauchi,2,542,,,0.47,low,,very_high,1,,flood,1807.0,True
Sumaila,Kano,2,525,,,0.49,moderate,,moderate,2,,flood,1752.0,True
Jalingo,Taraba,2,510,,,0.67,moderate,,high,3,,flood,1703.0,True
Dukku,Gombe,2,455,,,0.57,moderate,,high,4,,flood,1518.0,True
Shelleng,Adamawa,2,445,,,0.46,low,,moderate,1,,flood,1486.0,True
Balanga,Gombe,2,438,,,0.51,moderate,,very_high,2,,flood,1462.0,True
Song,Adamawa,2,360,,,0.65,moderate,,very_high,3,,flood,1203.0,True
Ibi,Taraba,2,348,,,0.45,low,,moderate,1,,flood,1161.0,True
Giade,Bauchi,2,329,,,0.45,low,,very_high,1,,flood,1098.0,True
Billiri,Gombe,2,322,,,0.49,moderate,,high,2,,flood,1075.0,True
Kaltungo,Gombe,2,318,,,0.45,low,,very_high,1,,flood,1062.0,True
Shomgom,Gombe,2,313,,,0.45,low,,very_high,1,,flood,1044.0,True
Ningi,Bauchi,2,312,,,0.49,moderate,,very_high,2,,flood,1041.0,True
Demsa,Adamawa,2,299,,,0.51,moderate,,moderate,3,,flood,998.0,True
Kurmi,Taraba,2,269,,,0.54,moderate,,moderate,2,,flood,899.0,True
Warji,Bauchi,2,203,,,0.49,moderate,,very_high,3,,flood,679.0,True
Gombe,Gombe,2,184,,,0.56,high,,high,5,,flood,615.0,True
Takum,Taraba,2,180,,,0.52,moderate,,moderate,2,,flood,603.0,True
Ussa,Taraba,2,168,,,0.52,moderate,,moderate,2,,flood,560.0,True
Gujba,Yobe,2,85,,,0.64,moderate,,high,4,,flood,286.0,True
Damaturu,Yobe,2,53,,,0.49,high,,moderate,5,,flood,179.0,True
Geidam,Yobe,2,0,,,0.49,moderate,,moderate,2,,flood,0.0,True
Nguru,Yobe,2,0,,,0.53,moderate,,moderate,3,,flood,0.0,True
